Program date,panelist_name1,panelist_name2,panelist_name3,panelist_name4,panelist_name5,panelist_name6,panelist_name7,panelist_name8,palestinian_count,mena_count,w_count,bipoc_count,dod_dhs_count,intl_rts_aid_org_count,gop_count,dem_count,nys_dem_count,TOTAL PANELISTS,PROP WHITE
12/21/2023,Heather Mulligan,Vera Eccarius-Kelly,Kristen van Ginhoven,,,,,,0,0,3,0,0,0,0,1,1,3,1
12/26/2023,Vera Eccarius-Kelly,Jim Hendler,Nic Rangel,,,,,,0,0,2,1,1,0,0,2,2,3,0.666666667
12/27/2023,Theresa Bourgeois,Jim Ketterer,Jay Jochnowitz,,,,,,0,0,3,0,1,0,0,2,2,3,1
12/28/2023,March Gallagher,Heather Mulligan,Judy Patrick,,,,,,0,0,3,0,0,0,0,2,2,3,1
12/29/2023,Judith Enck,Frederic Hof,David Soares,,,,,,0,0,2,1,1,0,0,2,2,3,0.666666667
1/2/2024,Jennifer Burns,Dan Irizarry,Jim Ketterer,Libby Post,,,,,0,0,2,2,1,0,0,2,2,4,0.5
1/3/2024,John Faso,Jim Hendler,Nic Rangel,,,,,,0,0,2,1,1,0,1,2,2,3,0.666666667
1/4/2024,Theresa Bourgeois,Ira Fusfeld,Terry Gipson,Judy Patrick,,,,,0,0,4,0,0,0,0,2,2,4,1
1/5/2024,Judith Enck,Cianna Freeman-Tolbert,Mike Spain,,,,,,0,0,2,1,0,0,0,1,1,3,0.666666667
1/8/2024,Frederic Hof,Libby Post,Mark Wittman,,,,,,0,0,3,0,1,0,0,1,1,3,1
1/9/2024,Rich Honen,J.P. Miller,Libby Post,Grace Kwaitkowski,,,,,0,0,4,0,0,0,1,1,1,4,1
1/10/2024,Robert Griffin,Dan Irizarry,Jay Jochnowitz,,,,,,0,0,2,1,1,0,0,0,0,3,0.666666667
1/11/2024,Fran Berman,Malia Du Mont,David Soares,,,,,,0,0,2,1,1,0,0,2,2,3,0.666666667
1/12/2024,Judith Enck,March Gallagher,Heather Mulligan,,,,,,0,0,3,0,0,0,0,3,3,3,1
1/15/2024,Frederic Hof,Libby Post,Nic Rangel,,,,,,0,0,2,1,1,0,0,2,2,3,0.666666667
1/16/2024,Terry Gipson,Jim Ketterer,Mike Spain,,,,,,0,0,3,0,1,0,0,2,2,3,1
1/17/2024,Cianna Freeman-Tolbert,Robert Griffin,Anna Markowitz,,,,,,0,0,2,1,1,0,0,1,1,3,0.666666667
1/18/2024,Vera Eccarius-Kelly,Ira Fusfeld,Libby Post,Grace Kwaitkowski,,,,,0,0,4,0,0,0,0,1,1,4,1
1/19/2024,Theresa Bourgeois,Judith Enck,David Soares,,,,,,0,0,2,1,0,0,0,3,3,3,0.666666667
1/22/2024,Jennifer Burns,John Faso,Libby Post,,,,,,0,0,2,1,0,0,1,1,1,3,0.666666667
1/23/2024,Fran Berman,J.P. Miller,Mike Spain,,,,,,0,0,3,0,0,0,1,0,0,3,1
1/24/2024,Malia Du Mont,Robert Griffin,Mike Spain,,,,,,0,0,3,0,2,0,0,1,1,3,1
1/25/2024,Vera Eccarius-Kelly,Judy Patrick,Kristen van Ginhoven,,,,,,0,0,3,0,0,0,0,0,0,3,1
1/26/2024,March Gallagher,Jay Jochnowitz,Aaron Pacitti,,,,,,0,0,3,0,0,0,0,1,1,3,1
1/31/2024,Robert Griffin,Nic Rangel,Kristen van Ginhoven,,,,,,0,0,2,1,1,0,0,1,1,3,0.666666667
2/1/2024,Theresa Bourgeois,Ira Fusfeld,Judy Patrick,,,,,,0,0,3,0,0,0,0,1,1,3,1
2/2/2024,Judith Enck,Dan Irizarry,Aaron Pacitti,,,,,,0,0,2,1,0,0,0,1,1,3,0.666666667
2/5/2024,Terry Gipson,Libby Post,Mike Spain,,,,,,0,0,3,0,0,0,0,2,2,3,1
2/6/2024,Cianna Freeman-Tolbert,Rich Honen,J.P. Miller,Mike Spain,,,,,0,0,3,1,0,0,1,0,0,4,0.75
2/7/2024,Theresa Bourgeois,Dan Irizarry,Judy Patrick,,,,,,0,0,2,1,0,0,0,1,1,3,0.666666667
2/8/2024,Kristen van Ginhoven,,,,,,,,0,0,1,0,0,0,0,0,0,1,1
2/9/2024,Vera Eccarius-Kelly,Heather Mulligan,David Soares,Mike Spain,,,,,0,0,3,1,0,0,0,2,2,4,0.75
2/12/2024,Jim Ketterer,Judy Patrick,Libby Post,,,,,,0,0,3,0,1,0,0,2,2,3,1
2/13/2024,March Gallagher,Judy Patrick,Mark Wittman,,,,,,0,0,3,0,0,0,0,1,1,3,1
2/14/2024,Theresa Bourgeois,Vera Eccarius-Kelly,Robert Griffin,,,,,,0,0,3,0,1,0,0,1,1,3,1
2/15/2024,Malia Du Mont,Anna Markowitz,,,,,,,0,0,2,0,1,0,0,2,2,2,1
2/16/2024,Frederic Hof,Aaron Pacitti,Setsuko Winchester,,,,,,0,0,2,1,1,0,0,0,0,3,0.666666667
2/23/2024,Jim Hendler,Aaron Pacitti,Judy Patrick,,,,,,0,0,3,0,1,0,0,1,1,3,1
2/26/2024,Jennifer Burns,Terry Gipson,Libby Post,Sarah Rogerson,,,,,0,0,3,1,0,0,0,2,2,4,0.75
2/27/2024,March Gallagher,Frederic Hof,Jim Ketterer,J.P. Miller,,,,,0,0,4,0,2,0,1,2,2,4,1
2/28/2024,John Faso,Cianna Freeman-Tolbert,Robert Griffin,,,,,,0,0,2,1,1,0,1,0,0,3,0.666666667
2/29/2024,Fran Berman,Malia Du Mont,Ira Fusfeld,Rich Honen,,,,,0,0,4,0,1,0,0,1,1,4,1
3/1/2024,Aaron Pacitti,Nic Rangel,Mike Spain,,,,,,0,0,2,1,0,0,0,1,1,3,0.666666667
3/4/2024,Jim Ketterer,Libby Post,Mark Wittman,,,,,,0,0,3,0,1,0,0,2,2,3,1
